date,plant_id,sku_id,opening_stock_units,production_units,inbound_transfers_units,outbound_transfers_units,sales_units,scrap_units,closing_stock_units,stockout_flag
2025-07-20,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50106,2476,225,199,2192,5,50411,0
2025-07-21,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50411,1807,286,281,2161,0,50062,0
2025-07-22,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50062,2203,348,80,2512,1,50020,0
2025-07-23,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50020,2363,399,241,2507,8,50026,0
2025-07-24,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50026,1766,138,15,2189,4,49722,0
2025-07-25,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49722,2133,1,16,1997,2,49841,0
2025-07-26,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49841,1805,209,66,2031,2,49756,0
2025-07-27,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49756,2143,571,290,1910,4,50266,0
2025-07-28,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50266,2366,417,109,2798,14,50128,0
2025-07-29,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50128,2750,325,155,2770,9,50269,0
2025-07-30,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50269,2843,463,261,2708,10,50596,0
2025-07-31,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50596,2615,600,259,2493,10,51049,0
2025-08-01,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51049,2367,381,330,2237,15,51215,0
2025-08-02,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51215,2015,418,34,1926,9,51679,0
2025-08-03,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51679,1662,280,269,2292,9,51051,0
2025-08-04,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51051,1815,231,25,2591,20,50461,0
2025-08-05,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50461,2581,505,11,2452,0,51084,0
2025-08-06,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51084,2832,77,252,2560,20,51161,0
2025-08-07,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51161,2060,342,85,2286,21,51171,0
2025-08-08,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51171,1825,136,197,2184,4,50747,0
2025-08-09,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50747,1922,322,55,1905,1,51030,0
2025-08-10,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51030,1611,85,117,2116,17,50476,0
2025-08-11,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50476,1766,80,113,2434,13,49762,0
2025-08-12,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49762,2717,577,155,2605,2,50294,0
2025-08-13,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50294,2100,180,295,2639,18,49622,0
2025-08-14,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49622,1573,525,323,1981,17,49399,0
2025-08-15,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49399,1868,83,39,2268,9,49034,0
2025-08-16,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49034,1999,544,100,2239,14,49224,0
2025-08-17,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49224,2300,168,100,2181,14,49397,0
2025-08-18,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49397,2654,601,319,2585,21,49727,0
2025-08-19,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49727,2566,74,304,2537,23,49503,0
2025-08-20,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49503,2355,196,196,2689,25,49144,0
2025-08-21,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49144,1648,444,306,2281,17,48632,0
2025-08-22,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48632,2275,577,50,2383,5,49046,0
2025-08-23,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49046,1915,5,139,2285,3,48539,0
2025-08-24,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48539,2127,260,264,2073,6,48583,0
2025-08-25,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48583,1605,82,76,2114,2,48078,0
2025-08-26,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48078,1985,363,96,2484,8,47838,0
2025-08-27,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,47838,1748,559,51,2416,8,47670,0
2025-08-28,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,47670,2279,484,181,2618,10,47624,0
2025-08-29,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,47624,2232,374,29,2204,6,47991,0
2025-08-30,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,47991,2922,303,159,2563,3,48491,0
2025-08-31,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48491,2087,83,39,1937,8,48677,0
2025-09-01,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48677,2012,615,47,2245,10,49002,0
2025-09-02,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49002,1926,439,147,2437,15,48768,0
2025-09-03,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48768,2303,353,176,2703,10,48535,0
2025-09-04,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48535,1977,240,303,2099,10,48340,0
2025-09-05,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48340,2499,139,42,2259,8,48669,0
2025-09-06,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48669,1657,246,78,2118,18,48358,0
2025-09-07,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48358,2193,311,296,2295,2,48269,0
2025-09-08,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48269,2640,303,51,2432,19,48710,0
2025-09-09,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48710,2451,379,336,2702,24,48478,0
2025-09-10,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48478,2405,261,281,2183,5,48675,0
2025-09-11,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48675,2555,214,174,2379,21,48870,0
2025-09-12,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,48870,2221,597,136,2091,3,49458,0
2025-09-13,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49458,2202,309,334,1985,14,49636,0
2025-09-14,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49636,2313,410,305,2115,2,49937,0
2025-09-15,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49937,2951,113,9,2599,13,50380,0
2025-09-16,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50380,2414,449,127,2366,17,50733,0
2025-09-17,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50733,2465,382,145,2285,14,51136,0
2025-09-18,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51136,2649,564,11,2435,2,51901,0
2025-09-19,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51901,1608,308,164,2291,12,51350,0
2025-09-20,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51350,2168,229,78,2152,8,51509,0
2025-09-21,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51509,1689,520,144,2399,14,51161,0
2025-09-22,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51161,2038,385,203,2409,5,50967,0
2025-09-23,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50967,2647,68,180,2698,19,50785,0
2025-09-24,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50785,2380,467,102,2514,1,51015,0
2025-09-25,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,51015,2014,168,153,2778,14,50252,0
2025-09-26,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50252,2421,526,260,2326,10,50603,0
2025-09-27,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50603,1968,268,102,2404,15,50318,0
2025-09-28,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50318,2485,324,17,2327,21,50762,0
2025-09-29,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50762,1852,573,305,2225,9,50648,0
2025-09-30,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50648,1634,594,247,2253,5,50371,0
2025-10-01,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50371,2776,398,85,2953,2,50505,0
2025-10-02,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50505,1969,29,26,2401,3,50073,0
2025-10-03,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,50073,1818,155,352,2358,13,49323,0
2025-10-04,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49323,1902,353,2,2137,19,49420,0
2025-10-05,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49420,2388,283,354,2542,18,49177,0
2025-10-06,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49177,2110,586,320,2477,23,49053,0
2025-10-07,MX-GDL,SKU-danone-bebible-de-fresa-deslactosado,49053,1778,598,204,2393,16,48816,0
