date,plant_id,sku_id,sales_units,net_sales_mxn,promo_flag,price_mxn
2025-07-20,MX-TOL,SKU-danone-bebible-natural-deslactosado,10394,232830.4,0,22.4
2025-07-21,MX-TOL,SKU-danone-bebible-natural-deslactosado,9550,213924.41,0,22.4
2025-07-22,MX-TOL,SKU-danone-bebible-natural-deslactosado,11637,260674.18,0,22.4
2025-07-23,MX-TOL,SKU-danone-bebible-natural-deslactosado,16965,380023.84,1,22.4
2025-07-24,MX-TOL,SKU-danone-bebible-natural-deslactosado,9651,216186.86,0,22.4
2025-07-25,MX-TOL,SKU-danone-bebible-natural-deslactosado,10311,230971.16,0,22.4
2025-07-26,MX-TOL,SKU-danone-bebible-natural-deslactosado,9792,219345.33,0,22.4
2025-07-27,MX-TOL,SKU-danone-bebible-natural-deslactosado,13744,307871.95,1,22.4
2025-07-28,MX-TOL,SKU-danone-bebible-natural-deslactosado,9589,214798.03,0,22.4
2025-07-29,MX-TOL,SKU-danone-bebible-natural-deslactosado,10269,230030.35,0,22.4
2025-07-30,MX-TOL,SKU-danone-bebible-natural-deslactosado,12184,272927.23,0,22.4
2025-07-31,MX-TOL,SKU-danone-bebible-natural-deslactosado,11391,255163.66,0,22.4
2025-08-01,MX-TOL,SKU-danone-bebible-natural-deslactosado,10412,233233.61,0,22.4
2025-08-02,MX-TOL,SKU-danone-bebible-natural-deslactosado,9904,221854.18,0,22.4
2025-08-03,MX-TOL,SKU-danone-bebible-natural-deslactosado,9313,208615.5,0,22.4
2025-08-04,MX-TOL,SKU-danone-bebible-natural-deslactosado,10890,243941.03,0,22.4
2025-08-05,MX-TOL,SKU-danone-bebible-natural-deslactosado,11806,264459.86,0,22.4
2025-08-06,MX-TOL,SKU-danone-bebible-natural-deslactosado,11078,248152.32,0,22.4
2025-08-07,MX-TOL,SKU-danone-bebible-natural-deslactosado,12846,287756.34,0,22.4
2025-08-08,MX-TOL,SKU-danone-bebible-natural-deslactosado,10643,238408.12,0,22.4
